School_ID,Network,Short_Name,the_geom,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
400009,Charter,GLOBAL CITIZENSHIP,POINT (-87.74009743581296 41.807578506885676),4647 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8075785077,-87.7400974358,1(773)582-1100,8,GARFIELD RIDGE,14,Edward M. Burke
400010,Charter,ACE TECH HS,POINT (-87.62584903655835 41.79612150956602),5410 S STATE ST,60609,Charter,HS,"9, 10, 11, 12",41.7961215104,-87.6258490365,1(773)548-8705,9,WASHINGTON PARK,3,Patricia R. Dowell
400011,Charter,LOCKE A,POINT (-87.70523452593643 41.87724835219521),3141 W JACKSON BLVD,60612,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.877248353,-87.7052345259,1(773)265-7232,5,EAST GARFIELD PARK,28,Jason C. Ervin
400013,Charter,ASPIRA - EARLY COLLEGE HS,POINT (-87.72709565849537 41.93729828444937),3986 W BARRY AVE,60618,Charter,HS,"9, 10, 11, 12",41.9372982853,-87.7270956585,1(773)252-0970 x137,4,AVONDALE,30,Ariel E. Reboyras
400017,Charter,ASPIRA - HAUGAN,POINT (-87.72182466520648 41.966405667183686),3729 W LELAND AVE,60625,Charter,ES,"6, 7, 8",41.966405668,-87.7218246652,1(773)252-0970,1,ALBANY PARK,35,Rey Colon
400021,Charter,CATALYST - CIRCLE ROCK,POINT (-87.76532197832837 41.8823222208844),5608 W WASHINGTON BLVD,60644,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8823222217,-87.7653219783,1(773)945-5025,3,AUSTIN,29,Chris Taliaferro
400022,Contract,CHIARTS HS,POINT (-87.69494501176021 41.89937657239439),2714 W AUGUSTA BLVD,60622,Contract,HS,"9, 10, 11, 12",41.8993765732,-87.6949450118,1(773)534-9710,5,WEST TOWN,26,Roberto Maldonado
400023,Charter,CICS - AVALON/SOUTH SHORE,POINT (-87.58792764149399 41.74317941977078),1501 E 83RD PL,60619,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7431794206,-87.5879276415,1(773)721-0858,12,AVALON PARK,8,Michelle A. Harris
400024,Charter,CICS - BASIL,POINT (-87.67024265731233 41.79404286369821),1816 W GARFIELD BLVD,60609,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7940428645,-87.6702426573,1(773)778-9455,11,NEW CITY,16,JoAnn Thompson
400025,Charter,CICS - BUCKTOWN,POINT (-87.68135796494731 41.92241462911477),2235 N HAMILTON AVE,60647,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9224146299,-87.6813579649,1(773)645-3321,6,LOGAN SQUARE,32,Scott Waguespack
400026,Charter,CICS - LOOMIS,POINT (-87.65756105861855 41.72024642296584),9535 S LOOMIS ST,60643,Charter,ES,"K, 1, 2",41.7202464238,-87.6575610586,1(773)429-8955,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
400027,Charter,CICS - IRVING PARK,POINT (-87.71049242850188 41.95089127467508),3820 N SPAULDING AVE,60618,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9508912755,-87.7104924285,1(773)433-5000,1,IRVING PARK,33,Deborah Mell
400028,Charter,CICS - PRAIRIE,POINT (-87.61688838173549 41.684433037932656),11530 S PRAIRIE AVE,60628,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6844330387,-87.6168883817,1(773)928-0480,13,WEST PULLMAN,9,Anthony A. Beale
400029,Charter,CICS - WASHINGTON PARK,POINT (-87.62126075301158 41.784126396805284),110 E 61ST ST,60637,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7841263976,-87.621260753,1(773)324-3300,9,WASHINGTON PARK,20,Willie B. Cochran
